Tool Name,Data Type,Data Type Description (from Data Type),Tool URL,Tool Logo,Category,Tool Description,Tool Features,Tool Direct Competitors,Roles that Use the Tool,Tasks (from Roles that Use the Tool),Required Hard Skills (from Tasks) (from Roles that Use the Tool),Required Soft Skills (from Tasks) (from Roles that Use the Tool),Associated Deliverables (from Daily Tasks) (from Roles that Use the Tool),Common Tasks Using the Tool
AI Model,,,,,,,,,,,,,,Creating AI Prompts
ChatGPT,Tool,An object (physical or digital) that’s used to complete work.,https://openai.com/index/chatgpt/,chat gpt.webp (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/VKWgXeiBAPvZeIrhoYBhJw/oaQHYI8TT1A2pasVDeHO4fd6mkBLzulacelPb7tHDZJfn8BWfpQ9EmjX924YW558TgJClmBFsejd2y4BRgnQg9tAAyKgmaE4p5mRLHPBPVTv4nU0O7yGEP1IGZakG4KzUAusGqgLxPZ6TUXt24aVRcsiGA-TRub9v52uv3WViVo/6k84q-3_Sw7au65vqUQr5UvmEQ3H7HgjCRZlbppQajU),"User Experience, Product Management, Operations, Development",,,"1. Google LaMDA
2. Microsoft Copilot
3. Google Gemini","Business Analysis, Agile Coaching, Product Management, UX (User Experience) Writing, Scrum Master, Project Management, Product Ownership, UX (User Experience) Design, Solutions Architecture, UX (User Experience) Research",,,,,Investigating Competitors
Dovetail,Tool,An object (physical or digital) that’s used to complete work.,https://dovetail.com/,dovetail.webp (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/qtcR_bOZu-ztRAB78yy72w/X-io_hU-7-wbWHZ_-1kX9dAjCKFqNrI2P6CaMBfmZv651_J-mdx-a3GSdkTVnjQGoU4usVAGcVvSMLG5Ea76jFBRBdzAJg_w3thTglxcrHYEXf2zSR46YpkDj6jW9HNySv_JxU7Dsmd4njQDeDyEcrhIVubNOU5-U_lKBDYx248/dvi-g0PYBS_51NoTR9TArHvnCawyyETKvhRrFDCBe9g),User Experience,,,"1. Notion
2. Condens
3. Looppanel","UX (User Experience) Design, UX (User Experience) Research",,,,,"Analyzing Research Findings,Usability Testing,A/B Prototype Test Creation,Prototype Concept Testing "
Figjam,Tool,An object (physical or digital) that’s used to complete work.,https://www.figma.com/figjam/,figjam.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/EaBsvi2u3V2j4oShFAyIlA/Co0DCt8YfnlPgHRVcuiFIJB49rNxJ4_pYttf0d4rgTL2av5Xm98zgJxPjaiZNr2neoZM_UwJ-_eBN8nhXqQeZqky2GQhvEBWg2n26mwaSO0Gc1M0Vk3Fbv7DT54ZF1EioaYTpw_v-YdZSNY3AcSmVvI1cZXkUMo1H0FkZg_Il8I/Y19lF0yR_M1I0MzOA5wQE-kAtz4rJixVFeCFRXzvQI0),"User Experience, Product Management",,,"1. Miro
2. Lucidspark","UX (User Experience) Design, UX (User Experience) Research, UX (User Experience) Writing, Product Ownership, Product Management, Business Analysis",,,,,"Release Scope Definition,Feature Vision Definition,Feature Scope Definition,Requirements Gathering,Wireframing,Prototype Creation,Requirements Refinement,Writing Requirements,Generating Problem Statements,Analyzing Research Findings,Strategy Definition,Sprint Planning,Level of Effort Estimation,Velocity Calculation,Identifying Priorities,Presenting Research Results,Kickoff / Intake,Defining Team Working Agreements,Team Role and Responsibility Definition,Secondary Research,UX Heuristics Analysis,Card Sorting ,Interviewing,Surveys,Storyboarding,Product Positioning,Diary Studies,Contextual Inquiries,Observing (Ethnography),Usability Testing,A/B Prototype Test Creation,Developing Information Architecture,Product Roadmap Maintenance,User Acceptance Testing,Technical Architecture Creation,Facilitating Agile Workshops,Sprint Retrospective Facilitation,Sprint Demo Facilitation,Inventorying Content,Information Security Audit,Identifying Research Patterns,Experiment Design,Developing Go-To-Market Strategy,Customer Segmentation,Customer Experience Mapping,Defining Team Process,Entity Relationship Creation,Creating Research Plans,Measuring Accessibility,User Story Generation,Site Map Testing,Search Engine Optimization (SEO) Design,Copywriting,Prototype Concept Testing ,Investigating Competitors,Choosing an Agile Method,Defining Research Operations,Defining UX Design Operations,Leading Agile Transformation,Creating Acceptance Criteria,Coaching Team Mates"
Figma,Tool,An object (physical or digital) that’s used to complete work.,https://figma.com,figma.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/EtNRqi_vhO4fBWRRZQq_hw/kOxfOPWdCBqZXAr79Vc7umGK6x5K7CrdH_ktX7Q9KolgnRp6_cggA822opHUS_TLTR1zikCiT1X5r9sxj3UN7cGuiuEwPyo-SrKOQpGZYaS8nNz9bhyQxeYCntNvbjmrFBIU90XKCK_X4uqsqLjk8Q/wzr6POpAUNYwysTju_purZm8c74gWqiF-jufyKC56PI),User Experience,Figma is a prototyping software that lets people develop interfaces and interactions. People use it to build low fidelity wireframes or high fidelity interfaces. Figma is often used between the hand off of design to development milestones.,"1. Build low fidelity interfaces
2. Build high fidelity interfaces
3. Create animations
4. Create design components
5. Define the UI styles
6. Define the specifications for development","1. Sketch
2. InVision
3. Balsamiq
4. Axure
5. Framer",UX (User Experience) Design,,,,,"Wireframing,Design Component Creation,Brand Identity Formation,Icon and Logo Creation,Prototype Creation,Storyboarding,UI Kit Creation,Developing Information Architecture,Clickable Prototype Creation,Customer Experience Mapping,Copywriting,Choosing Research Methods,Creating Annotations,Creating Illustrations,Optimizing SEO,Primary Research,Rapid Ideation,Release Vision Definition"
GitHub,Tool,An object (physical or digital) that’s used to complete work.,,,,,,,Development,,,,,"Documenting Code,Deploying Code,Creating REST APIs"
Integrated Development Environment (IDE) Tools,Tool,An object (physical or digital) that’s used to complete work.,,,,,,,Development,,,,,"Blockchain Coding,Database Creation,Front-End Coding,Server-Side Coding"
Lettucemeet,Tool,An object (physical or digital) that’s used to complete work.,https://lettucemeet.com,lettucemeet.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/LjADSY2TuLIwo2p726w9zA/rznJ3TZKHWuX8AxiLvcF3wqURdSFzWTrQUNBy3uvl3rvzC4Q7yQcTTyaJBRxAh1MiRXmrt9mSs2q9MNgx3YDYBIUq8hMQySnwi1LNhfzayxNtpurbNA1exvZRazAisLIjgYBkywgk2-I955g_bNAJ4wz77iFq0szqMCW6GdTtlY/Rlzj3uu4Hsu7v7KEE84Fpf7wJ5ZszJMObAO7S_ln8_4),Operations,,,"1. Crab Fit
2. Calendly","Business Analysis, Product Management, UX (User Experience) Writing, Scrum Master, Project Management, Product Ownership, UX (User Experience) Design, UX (User Experience) Research",,,,,
Maze.co,Tool,An object (physical or digital) that’s used to complete work.,https://maze.co,maze.png (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/vfXyOjybJDsLrguXaMYR8w/DultY-zAHCocd0FXH7mO_b5GkKmPldmCeFxYFx2AI10ucOl8iXeXaowdz2uUNA3lhoHX6AxNCWiYpuQnJcQzgJS030K6TWfEpoEmlEBDW0IzkW1SBR95-LyYmp6EDT7z5DtaHp-97R1t88kJJ1wRyw/9iwnvnSSKbrzk6YdZHDMDnK_Cb5a03UUUH-PW2JAG7g),User Experience,,,"1. Usertesting.com
2. Optimal Workshop
3. UXtweak
","UX (User Experience) Research, UX (User Experience) Design",,,,,"Analyzing Research Findings,Card Sorting ,Interviewing,Surveys,Usability Testing,A/B Prototype Test Creation,Prototype Concept Testing "
Notion,Tool,An object (physical or digital) that’s used to complete work.,https://notion.so,notion.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1773640800000/Qk7bvdddo3TZda7ngAvFSw/6b9oi7-fkpkC4dCZ0rEJT-bB35JYAuUiPP7fnVn_DN_t_ryXnXzFb0BMe2DDgtk1SOAtMXaOUSAz1M-tCC5Ri1Hkor6DqaiTubpui-C_yB4daoHoJKifbev0gv1_JMyvmtL2ckTbUZGzUsGFP6hrN9--qAZidxdTdW_HTjWHDSs/XVMHmqaNO_TYYRABTw4q7gB4y2YU5XS9G3TbR37DjzE),"Operations, User Experience, Product Management",,,"1. Confluence
2. Gitbook","Business Analysis, Product Management, UX (User Experience) Writing, Scrum Master, Project Management, Product Ownership, UX (User Experience) Design, UX (User Experience) Research",,,,,"Release Scope Definition,Feature Vision Definition,Feature Scope Definition,Requirements Gathering,Requirements Refinement,Brand Identity Formation,Writing Requirements,Generating Problem Statements,Strategy Definition,Sprint Planning,Level of Effort Estimation,Velocity Calculation,Presenting Research Results,Kickoff / Intake,Defining Team Working Agreements,Team Role and Responsibility Definition,Product Positioning,Contextual Inquiries,Observing (Ethnography),Usability Testing,A/B Prototype Test Creation,Developing Information Architecture,Product Roadmap Maintenance,Market Research,Tracking Milestone Progress,Scheduling Meetings,Tracking Epic Progress,Autotest Creation,QA Testing,User Acceptance Testing,Tracking Sprint Progress,Technical Architecture Creation,Documenting Code,Facilitating Agile Workshops,Threat Modeling,Sprint Retrospective Facilitation,Sprint Demo Facilitation,Security Protocol Definition,Price Testing,Penetration Testing,Inventorying Content,Information Security Audit,Firewall Configuration,Experiment Design,Developing Go-To-Market Strategy,Customer Segmentation,Defining Team Process,Entity Relationship Creation,Creating REST APIs,Creating Research Plans,Measuring Accessibility,User Story Generation,Site Map Testing,Search Engine Optimization (SEO) Design,Copywriting,Collecting Analytics,Analyzing Project Risk,Optimizing SEO,Primary Research,Product Backlog Maintenance,Prototype Concept Testing ,Investigating Competitors,Choosing an Agile Method,Defining Research Operations,Defining UX Design Operations,Leading Agile Transformation,Creating Acceptance Criteria,Coaching Team Mates"
